snapshot_date,source_url,retrieved_at_utc,registry_number,ticker,registry_name,registrar,registry_nominal,detail_url,has_standard_four_letter_ticker
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,12,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/ADMF,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,13,ADMG,POLYCHEM INDONESIA Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/ADMG,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,14,ADMR,ALAMTRI MINERALS INDONESIA Tbk,"FIBU1 - FICOMINDO BUANA REGISTRAR, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/ADMR,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,15,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,"FIBU1 - FICOMINDO BUANA REGISTRAR, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/ADRO,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,16,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,"BIME1 - BIMA REGISTRA, PT",50,https://web.ksei.co.id/services/registered-securities/shares/lc/AEGS,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,17,AGAR,ASIA SEJAHTERA MINA Tbk,"SHIN1 - SHARESTAR INDONESIA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/AGAR,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,18,AGII,SAMATOR INDO GAS Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/AGII,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,19,AGRO,BANK RAYA INDONESIA Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/AGRO,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,20,AGRS,BANK IBK INDONESIA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/AGRS,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,21,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",50,https://web.ksei.co.id/services/registered-securities/shares/lc/AHAP,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,22,AIMS,ARTHA MAHIYA INVESTAMA Tbk,"SIGU1 - SINARTAMA GUNITA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/AIMS,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,23,AISA,FKS FOOD SEJAHTERA Tbk,"SIGU1 - SINARTAMA GUNITA, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/AISA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,24,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,"SIGU1 - SINARTAMA GUNITA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/AKKU,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,25,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/AKPI,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,26,AKRA,AKR CORPORINDO Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",20,https://web.ksei.co.id/services/registered-securities/shares/lc/AKRA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,27,AKSI,MINERAL SUMBERDAYA MANDIRI Tbk,"SHIN1 - SHARESTAR INDONESIA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/AKSI,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,28,ALDO,ALKINDO NARATAMA Tbk,"SIGU1 - SINARTAMA GUNITA, PT",50,https://web.ksei.co.id/services/registered-securities/shares/lc/ALDO,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,29,ALII,ANCARA LOGISTICS INDONESIA Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",5,https://web.ksei.co.id/services/registered-securities/shares/lc/ALII,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,30,ALKA,ALAKASA INDUSTRINDO Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",1000,https://web.ksei.co.id/services/registered-securities/shares/lc/ALKA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,31,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",250,https://web.ksei.co.id/services/registered-securities/shares/lc/ALMI,True
